FinalCell_Label1,FinalCell_Label2,FinalCell_Label3,FinalCell_Label4
Sequence Number,TimeStamp,Bit Errors,Byte Errors
00000001,8900730,0,0
00000002,8900730,0,0
00000003,8900730,0,0
00000004,8900730,0,0
00000005,8900730,0,0
00000006,8900730,0,0
00000007,8900730,0,0
00000008,8900730,0,0
00000009,8900730,0,0
0000000A,8900730,0,0
0000000B,8900730,0,0
0000000C,8900730,0,0
0000000D,8900730,0,0
0000000E,8900730,0,0
0000000F,8900730,0,0
00000010,8900730,0,0
00000011,8900730,0,0
00000012,8900730,0,0
00000013,8900730,0,0
00000014,8900730,0,0
00000015,8900730,0,0
00000016,8900730,0,0
00000017,8900730,0,0
00000018,8900730,0,0
00000019,8900730,0,0
0000001A,8900730,0,0
0000001B,8900730,0,0
0000001C,8900730,0,0
0000001D,8900730,0,0
0000001E,8900730,0,0
0000001F,8900730,0,0
00000020,8900730,0,0
00000021,8900730,0,0
00000022,8900730,0,0
00000023,8900730,0,0
00000024,8900730,0,0
00000025,8900730,0,0
00000026,8900730,0,0
00000027,8900730,0,0
00000028,8900730,0,0
00000029,8900730,0,0
0000002A,8900730,0,0
0000002B,8900730,0,0
0000002C,8900730,0,0
0000002D,8900730,0,0
0000002E,8900730,0,0
0000002F,8900730,0,0
00000030,8900730,0,0
00000031,8900730,0,0
00000032,8900730,0,0
